School,Sport,wins,losses,ties,year
Duke,Basketball,26,7,0,2003
Maryland,Basketball,21,10,0,2003
Wake Forest,Basketball,25,6,0,2003
Georgia Tech,Basketball,16,15,0,2003
Virginia,Basketball,16,16,0,2003
NC State,Basketball,18,13,0,2003
North Carolina,Basketball,19,16,0,2003
Clemson,Basketball,15,13,0,2003
Florida State,Basketball,14,15,0,2003
Duke,Football,3,7,0,2003
Maryland,Football,6,3,0,2003
Wake Forest,Football,5,5,0,2003
Georgia Tech,Football,5,4,0,2003
Virginia,Football,5,4,0,2003
NC State,Football,7,3,0,2003
North Carolina,Football,2,8,0,2003
Clemson,Football,6,4,0,2003
Florida State,Football,8,2,0,2003
Duke,Baseball,24,34,0,2003
Maryland,Baseball,34,23,0,2003
Wake Forest,Baseball,47,13,0,2003
Georgia Tech,Baseball,52,16,0,2003
Virginia,Baseball,24,32,0,2003
NC State,Baseball,33,26,0,2003
North Carolina,Baseball,43,21,0,2003
Clemson,Baseball,54,17,0,2003
Florida State,Baseball,60,14,0,2003
Duke,Basketball,31,4,0,2002
Maryland,Basketball,32,4,0,2002
Wake Forest,Basketball,21,13,0,2002
Georgia Tech,Basketball,15,16,0,2002
Virginia,Basketball,17,12,0,2002
NC State,Basketball,23,11,0,2002
North Carolina,Basketball,8,20,0,2002
Clemson,Basketball,13,17,0,2002
Florida State,Basketball,12,17,0,2002
Duke,Basketball,33,4,0,2001
Maryland,Basketball,23,11,0,2001
Wake Forest,Basketball,19,11,0,2001
Georgia Tech,Basketball,17,13,0,2001
Virginia,Basketball,20,9,0,2001
NC State,Basketball,13,16,0,2001
North Carolina,Basketball,26,7,0,2001
Clemson,Basketball,11,19,0,2001
Florida State,Basketball,9,21,0,2001
Duke,Basketball,29,9,0,2000
Maryland,Basketball,25,10,0,2000
Virginia,Basketball,19,12,0,2000
North Carolina,Basketball,22,14,0,2000
Wake Forest,Basketball,22,14,0,2000
NC State,Basketball,20,14,0,2000
Florida State,Basketball,13,16,0,2000
Georgia Tech,Basketball,13,17,0,2000
Clemson,Basketball,10,20,0,2000
Duke,Basketball,37,2,0,1999
Maryland,Basketball,28,6,0,1999
Virginia,Basketball,14,16,0,1999
North Carolina,Basketball,24,10,0,1999
Wake Forest,Basketball,17,14,0,1999
NC State,Basketball,19,14,0,1999
Florida State,Basketball,13,17,0,1999
Georgia Tech,Basketball,15,16,0,1999
Clemson,Basketball,20,15,0,1999
Duke,Basketball,32,4,0,1998
Maryland,Basketball,21,11,0,1998
Virginia,Basketball,11,19,0,1998
North Carolina,Basketball,34,4,0,1998
Wake Forest,Basketball,16,14,0,1998
NC State,Basketball,17,15,0,1998
Florida State,Basketball,18,14,0,1998
Georgia Tech,Basketball,19,14,0,1998
Clemson,Basketball,18,14,0,1998
Duke,Basketball,24,9,0,1997
Maryland,Basketball,21,11,0,1997
Virginia,Basketball,18,13,0,1997
North Carolina,Basketball,28,7,0,1997
Wake Forest,Basketball,24,7,0,1997
